0.282751468282271,0.161770880222321,0,
0.139003035247163,0.0896536186337471,0,
0.111515033057975,0.0881846323609352,0,
0.117667742866728,0.0851500481367111,1,runs_ft/Jul30_21-08-17/checkpoints/model.pth
0.114058679469723,0.0898775607347488,0,
0.131273148179705,0.0844574347138405,0,runs_ft/Jul30_21-58-37/checkpoints/model.pth
0.134250569929309,0.0968244224786758,1,
0.135224130719873,0.0887050554156303,1,
0.137587309182097,0.0880876034498215,2,runs_ft/Jul31_16-43-23/checkpoints/model.pth
0.133683177826076,0.0920605584979057,3,
0.124919731829538,0.0955263823270798,3,
0.128451277593021,0.0974902734160423,3,
0.133360784556793,0.0919075384736061,3,
0.1016827841333,0.088756650686264,3,runs_ft/Jul31_21-41-15/checkpoints/model.pth
0.114726058301136,0.0873682647943497,2,runs_ft/Aug01_10-16-06/checkpoints/model.pth
0.113416863657097,0.0904951840639114,2,
0.127662341188831,0.095396488904953,4,
0.132574769967135,0.0967207923531532,4,
0.119382805617006,0.0915939882397652,4,
0.128101951678775,0.0890648812055588,4,runs_ft/Aug02_09-35-01/checkpoints/model.pth
,0.0874652773141861,,
